b'@Pinkuizback @_garrywalia @ModiLeDubega pro nahi anti caa tha be',b'1232188817345581061',b'laxman TPN',b'LaxmanJaat88',"b'Barmer, India'",b'',b'233',b'343',b'0',b'7782',b'2483',b'False',b'False',b'True',b'False',b'2010-05-07 04:05:46'
b'Protesters expressing their anger against pro CAA stand of @KeralaGovernor Arif Muhammed Khan by blockading Raj Bha\\u2026 https://t.co/gqMyZQTAMW',b'1232188450620760064',b'Sajith erattupetta',b'sajetpa1',"b'Jeddah, Kingdom of Saudi Arabi'",b'',b'13',b'60',b'0',b'66',b'57',b'False',b'False',b'True',b'False',b'2016-03-09 19:52:33'
b'@iamvikrammufc @Karthik_sonu65 @aliyasath @spectatorindex There are violent folks in pro/anti CAA protests.... This\\u2026 https://t.co/Jh8CVd4iP1',b'1232188394811219968',b'nirav patani',b'nirav_patani',"b'Beaverton, OR'","b'engineer, cricket maniac, movie addict, occasional social worker, fan of CSR, vada pav gobbler. Views expressed are personal. RT\\u2260 endorsement.'",b'219',b'1171',b'2',b'4902',b'1295',b'False',b'False',b'False',b'False',b'2009-03-15 06:46:17'
b'@ReallySwara Pro CAA = BJP gundaas',b'1232188345545039872',b'lekh raj',b'lekhraj29489619',b'South East England',b'Finance/Accounts - cricket and badminton fan',b'51',b'161',b'0',b'3337',b'13935',b'False',b'False',b'True',b'False',b'2014-11-09 11:50:58'
b'@AdityaRajKaul pl inform pro CAA people to check this photo. https://t.co/gtkLhgla3q',b'1232188337793982464',b'SUHANA SAFAR',b'ain_haque',"b'New Delhi, India'",b'',b'114',b'525',b'5',b'23456',b'20188',b'False',b'False',b'True',b'False',b'2012-09-19 11:50:11'
b'@Kritika_Kamra Pro - CAA = Anti Muslim\\n\\nThen\\n\\nAnti CAA = Anti India / Anti Hindu !!?',b'1232188268378284038',b'amadhumanohar',b'amadhumanohar',"b'Cuddapah, India'","b'Nationalist, Occasional Bavarchi'",b'16',b'60',b'1',b'1204',b'513',b'False',b'False',b'False',b'False',b'2009-09-08 07:20:22'
b'A complete crackdown is required on #CAAProtests \\u2014 both sides (Anti CAA as well as Pro CAA) miscreants in Delhi. No\\u2026 https://t.co/YJCZiD759D',b'1232188243933679617',b'Sadhavi Khosla\\U0001f1ee\\U0001f1f3',b'sadhavi',b'Patiala | Gurgaon',"b'Writer, Activist, Strategist. Documentary on Punjab Drugs. Inspiration~Mahatma Gandhi, Granddaughter of a Freedom Fighter. (NOT supporting any political party)'",b'85898',b'770',b'223',b'64317',b'26784',b'True',b'False',b'False',b'False',b'2009-05-17 05:55:30'
b'@GautamGambhir @DelhiPolice Sir aap to thoda sharm Kar leejiye \\nQki anti caa protest more than two months se chal R\\u2026 https://t.co/Ff0eDvC2Zo',b'1232188177231818752',b'furqan khan',b'furqankha12345',b'Banda UP India',b'still studying.\\nThe true sign of intelligence is not knowledge \\nbut imagination.',b'2',b'91',b'0',b'3',b'2',b'False',b'False',b'True',b'False',b'2017-03-27 08:53:13'
b'Anti CAA protestors anti India ho ya na ho but Pro CAA *protestors* definitely saffron goons hain.',b'1232188091823202304',b'Anamika Agnihotri',b'AnAgnihotri',"b'Preston, England'","b""A  blogger who is a mommy, A children's books lover,  A compulsive book collector, A children's books reviewer""",b'1214',b'460',b'16',b'5725',b'3836',b'False',b'False',b'False',b'False',b'2012-11-08 14:01:11'
b'Anti CAA = Anti Hindu. \\nPro Izlamic = Pro terrorists/Jihadis https://t.co/4CvnKKMpJ5',b'1232188058868412417',b'\\u5350 AshMan \\u5350',b'Ashy1313',b'',b'I want all my Mandirs in the Indian subcontinent restored back to glory. Next stop Kashi - Mathura Jai Shree Krishna #HinduRastra',b'136',b'1277',b'1',b'18209',b'43515',b'False',b'False',b'True',b'False',b'2019-11-14 06:26:04'
"b""@ExSecular Which shytt paper is it?? Rioters when it's Pro CAA, and activists and peaceful protests when it's Anti CAA. Height.""",b'1232188055361974272',b'Sunny2910',b'sunnybawachi',b'Hindustan ',"b'Music and Reading a passion. Proud Hindu, Modi Bhakt and a Nationalist. Hate anti nationals. Retweets not endorsement'",b'35',b'163',b'1',b'5892',b'3763',b'False',b'False',b'True',b'False',b'2020-01-29 17:43:29'
b'@valhallavaasi @satyajithpinku What is pro CAa batch in the first place .. as Sathya said .. Law passed with debate\\u2026 https://t.co/SwdelRMQym',b'1232188029457973249',b'Abhilash',b'knowabhilash',"b'Bengaluru, Karnataka'",b'Proud Indian \\U0001f1ee\\U0001f1f3',b'971',b'367',b'36',b'40092',b'20709',b'False',b'False',b'False',b'False',b'2010-03-19 06:31:08'
b'@anuragkashyap72 Pro CAA means respect for the Parliament which has passed the Amendment.',b'1232187969978548225',b'9628182211',b'KNOpAtXWlq41bwF',"b'Allahabad, India'",b'',b'6',b'25',b'0',b'390',b'5',b'False',b'False',b'True',b'False',b'2018-03-07 16:12:18'
b'Protesters expressing their anger against pro CAA stand of @KeralaGovernor Arif Muhammed Khan by blockading Raj Bha\\u2026 https://t.co/KPYDVAl0tI',b'1232187909526237185',b'hafeezullah kv',b'hafeezkv',b'India',b'I am What I am',b'1127',b'893',b'4',b'3310',b'1667',b'False',b'False',b'False',b'False',b'2009-09-27 04:17:01'
b'@vivekagnihotri First shame this bitch @BDUTT  wants kapil mishar arrested for pro CAA and no words for young hands\\u2026 https://t.co/frvPRcO2V6',b'1232187872863637504',b'1chidiya',b'2ajnabhi',b'solar planet ',"b',,,,ii,,\\n\\\\     ?'",b'14',b'115',b'0',b'648',b'241',b'False',b'False',b'True',b'False',b'2016-12-05 12:04:52'
b'@RavanaTandav @manoramanews Why not identifying with their dress  they commence their protest against CAA from Jama\\u2026 https://t.co/kSOiLPudxR',b'1232187871416799233',b'Rbl',b'vjay5571',b'',b'',b'0',b'10',b'0',b'56',b'46',b'False',b'False',b'True',b'False',b'2020-02-18 15:41:12'
b'Protesters expressing their anger against pro CAA stand of @KeralaGovernor Arif Muhammed Khan by blockading Raj Bha\\u2026 https://t.co/LJKWMWsxpD',b'1232187828618043393',b'Shereef_wandoor',b'Shereefwandoor1',b'',b'',b'8',b'34',b'0',b'15',b'10',b'False',b'False',b'True',b'False',b'2020-02-14 11:48:06'
b'@aye_m_rajat @Telugu_vaaru @RainaFayaz2 @bainjal Also go and read the actual post first. It was about Pro CAA prote\\u2026 https://t.co/WzXJ40N8h9',b'1232187766852603904',b'Abdul Singh Joseph Tripathi',b'JosephTripathi',b'',"b'Anti CAA/NRC/NPR hun, anti India nahi.'",b'3',b'46',b'0',b'118',b'666',b'False',b'False',b'True',b'False',b'2020-01-17 08:09:39'
"b'Not a single Pro, anti-CAA-NRC-NPR protests must be allowed throughout the country from this moment. Rascals who ar\\u2026 https://t.co/9x8X9a3KP6'",b'1232187757566595072',b'Yatharth Sikka',b'SikkaYatharth',b'Delhi',"b'Sub-Editor- @eorganiser, Journalist on training full of Fearless Patriotism, Cricket, Window seat in rain, Previously @Inkhabar @Indiatvnews, views personal'",b'255',b'472',b'0',b'9418',b'7218',b'False',b'False',b'True',b'False',b'2014-09-06 09:39:21'
b'Pro CAA activists &amp;r.s.s conducting anti muslim programme in delhi.\\n#OccupyKeralaRajBhavan \\n#ResignAmitShah',b'1232187711664074752',b'abdunnaser molakalil',b'molakalil',b'',b'industrialist&technical expert for plastic recycling',b'1',b'1',b'0',b'7',b'2',b'False',b'False',b'True',b'False',b'2020-02-25 03:56:46'
b'@_sabanaqvi And the muslims are firing and pelting stones on pro CAA supporters in panic....',b'1232187702965043201',b'NAMO Kamalvalecha',b'Kamalvalecha10',b'INDIA.',b'Modi bhakht...BJP forever...',b'29',b'91',b'0',b'496',b'2166',b'False',b'False',b'True',b'False',b'2019-03-26 19:33:43'
b'Protesters expressing their anger against pro CAA stand of @KeralaGovernor Arif Muhammed Khan by blockading Raj Bha\\u2026 https://t.co/mCf4sMdtGN',b'1232187676729761794',b'Khaleelurahman Annadka',b'k_annadka',b'K.S.A',b'',b'14',b'43',b'0',b'77',b'2',b'False',b'False',b'False',b'False',b'2009-10-03 05:24:34'
"b""They don't give a damn about CAA or NRC or NPR. They're not pro law protestors. They're anti-Muslim. No one is atta\\u2026 https://t.co/sqaEgYF9Sz""",b'1232187634736410624',b'Tanveer Rashid',b'mr_tanveer786',"b'Jharkhand, India'",b'Proud INDIAN\\U0001f1ee\\U0001f1f3 MUSLIM|Love Hindu|Hate Sanghi',b'344',b'714',b'0',b'26403',b'24463',b'False',b'False',b'True',b'False',b'2019-12-16 11:54:57'
b'@chin2jalna @RahulGu77527434 @sane_indian @sardesairajdeep Pad Karo chintu Bhakt\\n\\nhttps://t.co/936K4yzwoy',b'1232187558668357632',b'PradhaanSewak',b'PradhaanSewak',b'India',"b""'Hindu hu, Bevakoof nahe\\n\\nHoping to stop the FAKE propaganda carried out by bots and fake id for the love of my country - OUR DIVERSE INDIA""",b'66',b'13',b'1',b'7291',b'5318',b'False',b'False',b'False',b'False',b'2009-12-06 12:24:38'
"b'When establishment turns partial, society becomes bound to suffer badly\\nCop to pro-CAA group: \\u2018Go ahead and throw s\\u2026 https://t.co/IYU3HPZYHy'",b'1232187542503600128',b'CP Singh',b'CPSingh58',b'India',"b'Ex journalist, Ex Univ teacher, Ex Bank Officer, Trade Unionist, Social activist.\\n\\nAlways curious to know more...!!\\n\\nReligious fanatics are not welcome!!!'",b'89',b'693',b'0',b'2218',b'1862',b'False',b'False',b'False',b'False',b'2010-01-28 05:04:59'
b'Is our government brain dead ?Media is spreading propaganda against us.They portrayed anti CAA rioters as pro CAA a\\u2026 https://t.co/SLVzQoyyjq',b'1232187489730719746',b'Preetam sarma',b'swayamsevak666',b'bharat',"b'Axomia\\u2022nationalist\\u2022ThinkIndia \\u2022interested in state politics,geopolitical history,war-conflicts\\u2022\\u0928\\u092e\\u0938\\u094d\\u0924\\u0947 \\u0938\\u0926\\u093e \\u0935\\u0924\\u094d\\u0938\\u0932\\u0947 \\u092e\\u093e\\u0924\\u0943\\u092d\\u0942\\u092e\\u093f'",b'306',b'1345',b'9',b'8411',b'47490',b'False',b'False',b'True',b'False',b'2016-05-22 16:09:13'
b'@RahulGu77527434 @chin2jalna @sane_indian @sardesairajdeep https://t.co/936K4yzwoy',b'1232187462912368640',b'PradhaanSewak',b'PradhaanSewak',b'India',"b""'Hindu hu, Bevakoof nahe\\n\\nHoping to stop the FAKE propaganda carried out by bots and fake id for the love of my country - OUR DIVERSE INDIA""",b'66',b'13',b'1',b'7291',b'5318',b'False',b'False',b'False',b'False',b'2009-12-06 12:24:38'
b'Protesters expressing their anger against pro CAA stand of @KeralaGovernor Arif Muhammed Khan by blockading Raj Bha\\u2026 https://t.co/IClISgrfvC',b'1232187460202819584',b'ABDUL MUSAWIR M',b'ABDULMUSAWIRM1',b'',b'',b'1',b'2',b'0',b'11',b'0',b'False',b'False',b'True',b'False',b'2020-02-25 01:25:24'
"b'@Javedakhtarjadu You need to read news properly, stone pelting was done on pro caa protesters. Anti CAA protests we\\u2026 https://t.co/NfHQwejBXU'",b'1232187433699041281',b'sss15081947',b'sss15081947',"b'Mumbai, India'",b'Indian for India',b'26',b'294',b'0',b'1114',b'1910',b'False',b'True',b'True',b'False',b'2011-09-25 16:48:32'
b'Protesters expressing their anger against pro CAA stand of @KeralaGovernor Arif Muhammed Khan by blockading Raj Bha\\u2026 https://t.co/CPUHb37g7g',b'1232187378875453440',b'SADIKALI',b'sadikalituvvur',b'Jeddah',b'',b'37',b'67',b'1',b'20',b'2',b'False',b'False',b'True',b'False',b'2013-11-07 22:50:16'
"b'I have never seen any Pro CAA rallies doing riots like #DelhiRiots\\nWhy there is outbreak, destroying public propert\\u2026 https://t.co/H7awmjmnrI'",b'1232187272511942657',b'Aakansha',b'IamAakanshaa',"b'Mumbai, India'",b'Proud Indian \\U0001f1ee\\U0001f1f3 Artist \\U0001f3a8 Traveller \\U0001f30dTech Girl \\U0001f4bb',b'7',b'46',b'0',b'65',b'154',b'False',b'False',b'True',b'False',b'2019-12-18 09:13:06'
"b'@sanashakil_TNIE #DelhiBurns | DCP Amit Sharma, who suffered serious head injuries on Monday during #NortheastDelhi\\u2026 https://t.co/vqAOEf334w'",b'1232187267369717767',b'The New Indian Express',b'NewIndianXpress',b'Chennai',b'All the tweets for breaking news & views.\\nFacebook: https://t.co/2JWnDQzN07\\nYouTube: https://t.co/j6jQDbuEjK',b'386689',b'536',b'1408',b'564304',b'536',b'True',b'False',b'False',b'False',b'2009-12-05 09:24:55'
"b'@kartik407 @Iyervval He has reported on ""both sides"". But the truth is that it is not pro CAA people who are orches\\u2026 https://t.co/2ZQQGx1LmC'",b'1232187260222656512',b'Pritish Chakraborty',b'Crank7',b'New Delhi',b'White noise enthusiast.',b'164',b'487',b'14',b'4379',b'5586',b'False',b'False',b'False',b'False',b'2009-10-03 14:53:33'
b'Very peaceful protests indeed \\n@tehseenp @_sabanaqvi @SalmanNizami_ @RanaAyyub by pro CAA lot @VishalDadlani https://t.co/vFqnm9Obz0',b'1232187141150535680',b'KavitaM \\U0001f1ee\\U0001f1f3',b'Kavita_M57',b'',b'Proud Hindu. Staunch supporter of NAMO and proud to be followed by him. \\nStrongly allergic to INC AAP LEFT etc.',b'8393',b'1483',b'133',b'188122',b'72307',b'False',b'False',b'True',b'False',b'2015-02-28 15:44:40'
b'Protesters expressing their anger against pro CAA stand of @KeralaGovernor Arif Muhammed Khan by blockading Raj Bha\\u2026 https://t.co/Eny58eQOhT',b'1232187115355754496',b'Fahadppm',b'Fahadppm1',b'',b'',b'0',b'6',b'0',b'10',b'4',b'False',b'False',b'True',b'False',b'2020-02-19 06:23:01'
b'@satyajithpinku @knowabhilash Bro ee protests 2 months ga jarugutunai.. enduku pro CAA ani batch diginapud3 violenc\\u2026 https://t.co/ZSOFLeMbL7',b'1232187056345862144',b'YCP Stickering and Paints Dept',b'valhallavaasi',b'Tirupati to NYC',b'Baatasari | Network Architect | Janasainik | Progressive | \\nJai Janasena ! Jai Hind !!\\n...\\nprevID - maarpu2019',b'157',b'637',b'0',b'4449',b'7759',b'False',b'False',b'False',b'False',b'2017-01-11 17:54:07'
b'@UnSubtleDesi A person gun pointing at police was terrorist and he was anti caa protester and pro are anti muslims\\U0001f92d\\U0001f92d',b'1232186958400458753',b'Ishwar Toragal \\U0001f1ee\\U0001f1f3',b'ishwar_1986',"b'Hangal, India'",b'Nationalist.\\nDesh Bhakt.\\nBanker.\\nPolitical/economic speaker. RT r not endorsments',b'64',b'251',b'0',b'2808',b'5425',b'False',b'False',b'True',b'False',b'2017-08-24 16:37:33'
b'The BJP has succeeded in dividing the CAA protest on religious lines. Pro- CAA are Hindus &amp; Anti- CAA Muslims. This\\u2026 https://t.co/ltCEEJGVeF',b'1232186948074311681',b'RumourSays',b'Rumoursayz',"b'Mumbai, India'","b""Stand to die with dignity or crawl to live with ignominy.Everything  is personal, except the tweets.I don't have a ghost who speaks on my behalf.""",b'5',b'317',b'0',b'421',b'295',b'False',b'False',b'True',b'False',b'2019-02-24 18:56:51'
b'\\u092a\\u0930 \\u092f\\u0947 \\u0917\\u094b\\u0932\\u0940 \\u091a\\u0932\\u093e\\u0928\\u0947 \\u0935\\u093e\\u0932\\u093e \\u0924\\u094b \\u0924\\u0947\\u0930\\u0940 \\u0924\\u0930\\u0939 \\u091c\\u093f\\u0928\\u094d\\u0928\\u093e \\u0915\\u0940 \\u0914\\u0932\\u093e\\u0926 \\u0928\\u093f\\u0915\\u0932\\u093e\\u0964\\n\\nhttps://t.co/UOCX78R7U3 https://t.co/EBg99Ihh2l',b'1232186940646182913',b'\\u0936\\u0948\\u0932\\u0947\\u0936',b'skjha938',b'India',b'\\u0926\\u0947\\u0936 \\u0914\\u0930 \\u0938\\u0928\\u093e\\u0924\\u0928 \\u0915\\u094b \\u0938\\u092e\\u0930\\u094d\\u092a\\u093f\\u0924\\u0964 \\u091c\\u094b \\u092d\\u0940 \\u0930\\u093e\\u091c\\u0928\\u0940\\u0924\\u093f\\u0915 \\u0926\\u0932 \\u0907\\u0938\\u0947 \\u0938\\u092e\\u0930\\u094d\\u0925\\u0928 \\u0926\\u0947\\u0964 \\u092e\\u0947\\u0930\\u093e \\u0938\\u092e\\u0930\\u094d\\u0925\\u0928 \\u0909\\u0938\\u0940 \\u0915\\u094b\\u0964 \\u0915\\u093f\\u0938\\u0940 \\u0930\\u093e\\u091c\\u0928\\u0940\\u0924\\u093f\\u0915 \\u0926\\u0932 \\u0915\\u093e \\u0938\\u092e\\u0930\\u094d\\u0925\\u0915 \\u0938\\u092e\\u091d \\u0915\\u0930 \\u092e\\u0941\\u091d\\u0947 \\u092b\\u0949\\u0932\\u094b \\u0928\\u093e \\u0915\\u0930\\u0947\\u0902\\u0964 \\u0938\\u093e\\u0930\\u0947 \\u0926\\u0932 \\u091b\\u094b\\u091f\\u0947 \\u092f\\u093e \\u092c\\u095c\\u0947 \\u091a\\u094b\\u0930 \\u0939\\u0948',b'376',b'437',b'1',b'12405',b'52532',b'False',b'False',b'True',b'False',b'2013-02-05 11:24:24'
b'@Jaykaul @_YogendraYadav @POTUS They have been peaceful ALL THIS FUCKING WHILE. PRO CAA PEOPLE STARTED THIS. OPEN YOUR DAMN EYES.',b'1232186915769552896',b'Phalguni Aneja',b'phalgunianeja',b'India',b'',b'227',b'258',b'5',b'1875',b'2797',b'False',b'False',b'False',b'False',b'2009-06-03 04:14:47'
b'@TarunVerma15988 @nto1927 Ye pro CAA protesters ne kiya hai .. update your knowledge first... Otherwise prove it th\\u2026 https://t.co/snNLsK7s1D',b'1232186883309883392',b'Samar Singh',b'iamsamar5293',b'',"b'Indian First \\U0001f1ee\\U0001f1f3 Country First\\nEngineer, Good Cricketer, Sarcastic..'",b'30',b'639',b'0',b'698',b'3170',b'False',b'False',b'False',b'False',b'2009-09-04 09:53:15'
b'@anshu_prashar @vinod_sharma @NAN_DINI_ Save the adjectives...the politicians are out to polarize and guys like u a\\u2026 https://t.co/gXdDoQQPEQ',b'1232186827613724672',b'D S G',b'DSGarcha',b'',"b'Seeking knowledge, perpetual learner. Tweets are personal. RTs r not endorsements, just show interest.'",b'402',b'712',b'31',b'52267',b'1452',b'False',b'False',b'False',b'False',b'2009-07-05 09:49:01'
"b'Can you call them rioters? Why calling them ""Pro CAA""? What has CAA to do with rioting? https://t.co/ImHT9yoUbk'",b'1232186714866749441',b'Shaista Haider',b'ishaistahaider',b'',b'',b'44',b'65',b'0',b'1573',b'5065',b'False',b'False',b'True',b'False',b'2016-08-05 17:27:02'
b'@MissMuggleborn https://t.co/iB9ZAKXOIQ',b'1232186710835920896',b'\\u0622\\u0635\\u0641',b'theusualones',b'Banana Republic',b'Forgetful. Impulsive. Foodie. Memes.',b'115',b'624',b'0',b'3037',b'22035',b'False',b'False',b'True',b'False',b'2009-10-19 08:04:15'
b'There is no pro caa. These are bloodthirsty mobs of rss and bjp. https://t.co/JtZCym6JAK',b'1232186633169952770',b'Shelley',b'Shelley58502364',b'',"b'free thinker, liberal, iconoclast, love nonsense, loafer, sarcastic and lot else which i cannot confess online.'",b'169',b'1332',b'0',b'9188',b'7289',b'False',b'False',b'True',b'False',b'2019-12-16 04:41:45'
b'Protesters expressing their anger against pro CAA stand of @KeralaGovernor Arif Muhammed Khan by blockading Raj Bha\\u2026 https://t.co/jQKE6MFUb7',b'1232186584352489473',b'Najmudheen CK',b'najumgm',b'\\u092d\\u093e\\u0930\\u0924',b'',b'44',b'50',b'0',b'242',b'261',b'False',b'False',b'True',b'False',b'2009-09-19 13:54:15'
"b'For several hours, Reuters eyewitnesses saw the outnumbered policemen mostly stand beside those backing the citizen\\u2026 https://t.co/Bx6FQ6WfuR'",b'1232186558561869824',b'Md Salim',b'salimdotcomrade',"b'Kolkata, West Bengal'",b'Marxist. Politburo Member-CPI(M). Served Rajya Sabha for 2 terms. Ex MP Raiganj & Calcutta NE. Ex Youth Affairs & Minority Development Minister West Bengal.',b'49006',b'208',b'64',b'11639',b'9556',b'True',b'False',b'False',b'False',b'2011-06-06 13:03:50'
b'Protesters expressing their anger against pro CAA stand of @KeralaGovernor Arif Muhammed Khan by blockading Raj Bha\\u2026 https://t.co/roa8kMeAk8',b'1232186514949304321',b'Shafeeh_pappu Vaniyambalam',b'Shafeeh6Pappu',"b'\\u092a\\u0947\\u0930\\u093f\\u0902\\u0925\\u093e\\u0932\\u092e\\u0928\\u094d\\u0928\\u093e, \\u092d\\u093e\\u0930\\u0924'",b'God Bless You',b'38',b'113',b'0',b'60',b'151',b'False',b'False',b'True',b'False',b'2019-07-15 14:17:29'
b'@MirchiSayema Its not only pro caa supporter.. Its both pro and anti.. Both the party is responsible for this mess.\\u2026 https://t.co/V4TS9AP7ub',b'1232186478643466240',b'I_am_time',b'Iamtime5',b'',b'Dissolve in water',b'1',b'33',b'0',b'112',b'64',b'False',b'True',b'True',b'False',b'2020-01-08 08:57:15'
b'https://t.co/vGKFTnknAc',b'1232186392576282624',b'5 million ton Economy',b'IamShaikAkber',b'Bodhan',b'',b'73',b'344',b'0',b'1296',b'2982',b'False',b'False',b'True',b'False',b'2019-06-25 01:31:14'
b'@sandymridul This is really bad. Both pro and anti CAA people should refrain from violence. An the \\u201ccelebrities \\u201c s\\u2026 https://t.co/KLrNbJLqX8',b'1232186296174551041',b'Anand Varma',b'Indianguts',b'India',b'\\u0930\\u094c\\u0928\\u0915 \\u0939\\u092e\\u0938\\u0947 \\u0939\\u0948...',b'273',b'383',b'13',b'19375',b'2146',b'False',b'False',b'False',b'False',b'2009-07-06 12:38:50'
b'@RaviSha97890776 @sumatweet @asadowaisi @AmitShah Nd those against constitution (Pro CAA) should be burned alive too.',b'1232186288171708417',b'Saqib Khan\\u2b50 {\\u062b\\u0627\\u0642\\u0628}',b'saqibhafizkhan',"b'Srinagar,Jammu & Kashmir'","b'I Study, Read & Investigate, because neither I want to be the vulgar toy of my passions nor the servile slave of tyrants.'",b'10',b'143',b'0',b'91',b'1795',b'False',b'False',b'True',b'False',b'2017-01-06 10:05:21'
b'@chetan_bhagat Muslim mob is targeting hindu sikh residents while pro caa protesters are doing self defense.',b'1232186282002059265',b'Lopamudra \\U0001f1ee\\U0001f1f3',b'rwofindia',b'India',"b'Indian,\\nProud Sanatani\\nYes I am not your type leftist, \\nIdeology = Hindutva\\nCulture = Sanatan\\nBelief = Hinduism'",b'115',b'236',b'0',b'2059',b'99',b'False',b'False',b'True',b'False',b'2019-08-24 13:34:09'
